,aaid,Country,City,District,Ward
0,1000000,Afghanistan,Badakhshan,,
1,1010000,Afghanistan,Badghis,,
2,1020000,Afghanistan,Baghlan,,
3,1030000,Afghanistan,Balkh,,
4,1040000,Afghanistan,Bamyan,,
5,1050000,Afghanistan,Daykundi,,
6,1060000,Afghanistan,Farah,,
7,1070000,Afghanistan,Faryab,,
8,1080000,Afghanistan,Ghazni,,
9,1090000,Afghanistan,Ghor,,
10,1100000,Afghanistan,Hilmand,,
11,1110000,Afghanistan,Hirat,,
12,1120000,Afghanistan,Jawzjan,,
13,1130000,Afghanistan,Kabul,,
14,1140000,Afghanistan,Kandahar,,
15,1150000,Afghanistan,Kapisa,,
16,1160000,Afghanistan,Khost,,
17,1170000,Afghanistan,Kunar,,
18,1180000,Afghanistan,Kunduz,,
19,1190000,Afghanistan,Laghman,,
20,1200000,Afghanistan,Logar,,
21,1210000,Afghanistan,Nangarhar,,
22,1220000,Afghanistan,Nimroz,,
23,1230000,Afghanistan,Nuristan,,
24,1240000,Afghanistan,Paktika,,
25,1250000,Afghanistan,Paktya,,
26,1260000,Afghanistan,Panjshir,,
27,1270000,Afghanistan,Parwan,,
28,1280000,Afghanistan,Samangan,,
29,1290000,Afghanistan,Sari Pul,,
30,1300000,Afghanistan,Takhar,,
31,1310000,Afghanistan,Uruzgan,,
32,1320000,Afghanistan,Wardak,,
33,1330000,Afghanistan,Zabul,,
34,2000000,Åland,Brändö,,
35,2010000,Åland,Eckerö,,
36,2020000,Åland,Finström,,
37,2030000,Åland,Föglö,,
38,2040000,Åland,Geta,,
39,2050000,Åland,Hammarland,,
40,2060000,Åland,Jomala,,
41,2070000,Åland,Kökar,,
42,2080000,Åland,Kumlinge,,
43,2090000,Åland,Lemland,,
44,2100000,Åland,Lumparland,,
45,2110000,Åland,Mariehamn,,
46,2120000,Åland,Saltvik,,
47,2130000,Åland,Sottunga,,
48,2140000,Åland,Sund,,
49,2150000,Åland,Vårdö,,
50,3000000,Albania,Berat,,
51,3010000,Albania,Dibër,,
52,3020000,Albania,Durrës,,
53,3030000,Albania,Elbasan,,
54,3040000,Albania,Fier,,
55,3050000,Albania,Gjirokastër,,
56,3060000,Albania,Korçë,,
57,3070000,Albania,Kukës,,
58,3080000,Albania,Lezhë,,
59,3090000,Albania,Shkodër,,
60,3100000,Albania,Tiranë,,
61,3110000,Albania,Vlorë,,
62,4000000,Algeria,Adrar,,
63,4010000,Algeria,Aïn Defla,,
64,4020000,Algeria,Aïn Témouchent,,
65,4030000,Algeria,Alger,,
66,4040000,Algeria,Annaba,,
67,4050000,Algeria,Batna,,
68,4060000,Algeria,Béchar,,
69,4070000,Algeria,Béjaïa,,
70,4080000,Algeria,Biskra,,
71,4090000,Algeria,Blida,,
