110000	Management Occupations
111000	Top Executives
119030	Education and Childcare Administrators
130000	Business and Financial Operations Occupations
131020	Buyers and Purchasing Agents
131070	Human Resources Workers
131081	Logisticians
131160	Market Research Analysts and Marketing Specialists
132010	Accountants and Auditors
132020	Property Appraisers and Assessors
132054	Financial Risk Specialists
132072	Loan Officers
150000	Computer and Mathematical Occupations
152040	Statisticians
170000	Architecture and Engineering Occupations
171000	Architects Surveyors and Cartographers
172000	Engineers
172050	Civil Engineers
172070	Electrical and Electronics Engineers
210000	Community and Social Service Occupations
212000	Religious Workers
230000	Legal Occupations
231010	Lawyers and Judicial Law Clerks
231020	Judges Magistrates and Other Judicial Workers
250000	Educational Instruction and Library Occupations
251000	Postsecondary Teachers
252000	Preschool Elementary Middle Secondary and Special Education Teachers
252010	Preschool and Kindergarten Teachers
254000	Librarians Curators and Archivists
259090	Miscellaneous Educational Instruction and Library Workers
270000	Arts Design Entertainment Sports and Media Occupations
271000	Art and Design Workers
271010	Artists and Related Workers
271020	Designers
272000	Entertainers and Performers Sports and Related Workers
272010	Actors Producers and Directors
272020	Athletes Coaches Umpires and Related Workers
272030	Dancers and Choreographers
272040	Musicians Singers and Related Workers
273000	Media and Communication Workers
273040	Writers and Editors
274000	Media and Communication Equipment Workers
274020	Photographers
290000	Healthcare Practitioners and Technical Occupations
330000	Protective Service Occupations
331090	Miscellaneous First-Line Supervisors Protective Service Workers
333050	Police Officers
350000	Food Preparation and Serving Related Occupations
351000	Supervisors of Food Preparation and Serving Workers
351010	Supervisors of Food Preparation and Serving Workers
352000	Cooks and Food Preparation Workers
353020	Fast Food and Counter Workers
370000	Building and Grounds Cleaning and Maintenance Occupations
390000	Personal Care and Service Occupations
395000	Personal Appearance Workers
395010	Barbers Hairdressers Hairstylists and Cosmetologists
395091	Makeup Artists Theatrical and Performance
397000	Tour and Travel Guides
399030	Recreation and Fitness Workers
410000	Sales and Related Occupations
411111	Furniture
411112	Car
413020	Insurance Sales Agents
413030	Securities Commodities and Financial Services Sales Agents
419020	Real Estate Brokers and Sales Agents
419100	Wedding Clothes Sales
430000	Office and Administrative Support Occupations
434050	Customer Service Representatives
434080	Hotel Motel and Resort Desk Clerks
434180	Reservation and Transportation Ticket Agents and Travel Clerks
435050	Postal Service Workers
436000	Secretaries and Administrative Assistants
450000	Farming Fishing and Forestry Occupations
470000	Construction and Extraction Occupations
472110	Electricians
472060	Construction Laborers
490000	Installation Maintenance and Repair Occupations
510000	Production Occupations
515100	Printing Workers
517000	Woodworkers
530000	Transportation and Material Moving Occupations
530001	Driver Instructors
532000	Air Transportation Workers
537000	Material Moving Workers
550000	Military Specific Occupations
0	Null
1	Dont care
-9	Null
