Hòa Bình,Hoa Binh
Sơn La,Son La
Điện Biên,Dien Bien
Lai Châu,Lai Chau
Lào Cai,Lao Cai
Yên Bái,Yen Bai
Phú Thọ,Phu Tho
Hà Giang,Ha Giang
Tuyên Quang,Tuyen Quang
Cao Bằng,Cao Bang
Bắc Kạn,Bac Kan
Thái Nguyên,Thai Nguyen
Lạng Sơn,Lang Son
Bắc Giang,Bac Giang
Quảng Ninh,Quang Ninh
Hà Nội,Ha Noi
Bắc Ninh,Bac Ninh
Hà Nam,Ha Nam
Hải Dương,Hai Duong
Hải Phòng,Hai Phong
Hưng Yên,Hung Yen
Nam Định,Nam Dinh
Thái Bình,Thai Binh
Vĩnh Phúc,Vinh Phuc
Ninh Bình,Ninh Binh
Thanh Hóa,Thanh Hoa
Nghệ An,Nghe An
Hà Tĩnh,Ha Tinh
Quảng Bình,Quang Binh
Quảng Trị,Quang Tri
Thừa Thiên Huế,Thua Thien Hue
Đà Nẵng,Da Nang
Quảng Nam,Quang Nam
Quảng Ngãi,Quang Ngai
Bình Định,Binh Dinh
Phú Yên,Phu Yen
Khánh Hòa,Khanh Hoa
Ninh Thuận,Ninh Thuan
Bình Thuận,Binh Thuan
Kon Tum,Kon Tum
Gia Lai,Gia Lai
Đắk Lắk,Dak Lak
Đắk Nông,Dak Nong
Lâm Đồng,Lam Dong
Hồ Chí Minh,Ho Chi Minh
Bà Rịa - Vũng Tàu,Ba Ria - Vung Tau
Bình Dương,Binh Duong
Bình Phước,Binh Phuoc
Đồng Nai,Dong Nai
Tây Ninh,Tay Ninh
An Giang,An Giang
Bạc Liêu,Bac Lieu
Bến Tre,Ben Tre
Cà Mau,Ca Mau
Cần Thơ,Can Tho
Đồng Tháp,Dong Thap
Hậu Giang,Hau Giang
Kiên Giang,Kien Giang
Long An,Long An
Sóc Trăng,Soc Trang
Tiền Giang,Tien Giang
Trà Vinh,Tra Vinh
Vĩnh Long,Vinh Long
