CategoryId,Category,MainCate,Type,SubCate Group
20001,Nhà hàng & quán,Nhà hàng & quán,Main cate,
20002,Nhà hàng,Nhà hàng & quán,Sub category 1,
20003,Nhà hàng gọi món,Nhà hàng & quán,Sub category 2,20002
20004,Nhà hàng buffet,Nhà hàng & quán,Sub category 2,20002
20005,Fast food + Pizza,Nhà hàng & quán,Sub category 2,20002
20006,Quán ăn bình dân,Nhà hàng & quán,Sub category 2,20002
20007,Quán nước,Nhà hàng & quán,Sub category 1,
20008,Trà sữa,Nhà hàng & quán,Sub category 2,20007
20009,Tiệm kem,Nhà hàng & quán,Sub category 2,20007
20010,Tiệm bánh,Nhà hàng & quán,Sub category 2,20007
20011,Tiệm cafe,Nhà hàng & quán,Sub category 2,20007
20012,Bất động sản,Bất động sản,Main cate,
20013,Công ty đầu tư địa ốc,Bất động sản,Sub category 1,20012
20014,Môi giới & mua bán bất động sản,Bất động sản,Sub category 1,20012
20323,Môi giới & mua bán đất,Bất động sản,Sub category 2,20014
20324,Môi giới & mua bán nhà,Bất động sản,Sub category 2,20014
20325,Môi giới & mua bán chung cư căn hộ,Bất động sản,Sub category 2,20014
20334,Công ty môi giới & mua bán BĐS,Bất động sản,Sub category 2,20014
20015,Dịch vụ chuyển nhà,Bất động sản,Sub category 1,20012
20016,Quản lý & cho thuê văn phòng,Bất động sản,Sub category 1,20012
20017,Ứng dụng + website cho thuê/mua bán BĐS,Bất động sản,Sub category 1,20012
20018,Dự Án BDS,Bất động sản,Sub category 1,20012
20326,Dự án đất nền,Bất động sản,Sub category 2,20018
20327,Dự án nhà,Bất động sản,Sub category 2,20018
20328,Dự án chung cư căn hộ,Bất động sản,Sub category 2,20018
20329,Cho thuê bất động sản,Bất động sản,Sub category 1,20012
20330,Cho thuê đất,Bất động sản,Sub category 2,20329
20331,Cho thuê nhà,Bất động sản,Sub category 2,20329
20332,Cho thuê chung cư căn hộ,Bất động sản,Sub category 2,20329
20333,Cho thuê phòng trọ,Bất động sản,Sub category 2,20329
20019,Chăm sóc làm đẹp & chăm sóc cá nhân,Chăm sóc làm đẹp & chăm sóc cá nhân,Main cate,
20020,Chăm sóc da,Chăm sóc làm đẹp & chăm sóc cá nhân,Sub category 1,
20021,Dịch vụ chăm sóc da,Chăm sóc làm đẹp & chăm sóc cá nhân,Sub category 2,20020
20022,Kem chống nắng,Chăm sóc làm đẹp & chăm sóc cá nhân,Sub category 2,20020
20023,Xà phòng/ sữa tắm & nước rửa tay,Chăm sóc làm đẹp & chăm sóc cá nhân,Sub category 2,20020
20024,Chăm sóc Răng Miệng,Chăm sóc làm đẹp & chăm sóc cá nhân,Sub category 1,
20025,Kem/bàn chải đánh răng,Chăm sóc làm đẹp & chăm sóc cá nhân,Sub category 2,20024
20026,"Sản phẩm chăm sóc răng, miệng",Chăm sóc làm đẹp & chăm sóc cá nhân,Sub category 2,20024
20027,Nha khoa,Chăm sóc làm đẹp & chăm sóc cá nhân,Sub category 2,20024
20028,Chăm sóc tóc,Chăm sóc làm đẹp & chăm sóc cá nhân,Sub category 1,
20029,Mọc tóc/ đen tóc,Chăm sóc làm đẹp & chăm sóc cá nhân,Sub category 2,20028
20030,Salon cắt tóc,Chăm sóc làm đẹp & chăm sóc cá nhân,Sub category 2,20028
20031,Dầu gội & dầu xả,Chăm sóc làm đẹp & chăm sóc cá nhân,Sub category 2,20028
20032,Dịch vụ làm đẹp,Chăm sóc làm đẹp & chăm sóc cá nhân,Sub category 1,
20033,Spa,Chăm sóc làm đẹp & chăm sóc cá nhân,Sub category 2,20032
20034,Thẩm mỹ viện,Chăm sóc làm đẹp & chăm sóc cá nhân,Sub category 2,20032
20035,Mỹ Phẩm Trang điểm,Chăm sóc làm đẹp & chăm sóc cá nhân,Sub category 2,20032
20036,Mỹ phẩm làm đẹp da,Chăm sóc làm đẹp & chăm sóc cá nhân,Sub category 2,20032
20037,Nước hoa,Chăm sóc làm đẹp & chăm sóc cá nhân,Sub category 1,
20038,Vệ sinh cơ thể,Chăm sóc làm đẹp & chăm sóc cá nhân,Sub category 1,
20039,"Xịt, lăn, sản phẩm khử mùi",Chăm sóc làm đẹp & chăm sóc cá nhân,Sub category 2,20038
20040,"Dung dịch, sản phẩm vệ sinh phụ nữ",Chăm sóc làm đẹp & chăm sóc cá nhân,Sub category 2,20038
20041,Công - Nông nghiệp,Công - Nông nghiệp,Main cate,
20042,Hóa chất,Công - Nông nghiệp,Sub category 1,
20043,Năng lượng,Công - Nông nghiệp,Sub category 1,
20044,Dầu khí,Công - Nông nghiệp,Sub category 2,20042
20045,Năng lượng tái tạo & năng lượng sạch,Công - Nông nghiệp,Sub category 2,20042
20046,Hàng hóa & sản xuất công nghiệp,Công - Nông nghiệp,Sub category 1,
20047,Thiết bị điện tử cho công nghiệp,Công - Nông nghiệp,Sub category 2,20046
20048,Nhà máy & cơ sở,Công - Nông nghiệp,Sub category 2,20046
20049,In thương mại & công nghiệp,Công - Nông nghiệp,Sub category 1,
20050,Thiết bị & dịch vụ an ninh,Công - Nông nghiệp,Sub category 1,
20051,Thiết bị & dịch vụ khoa học,Công - Nông nghiệp,Sub category 1,
20052,Văn phòng & thiết bị văn phòng,Công - Nông nghiệp,Sub category 1,
20053,Xây dựng & bảo dưỡng công trình,Công - Nông nghiệp,Sub category 1,
20054,"Máy móc, dụng cụ, phụ tùng",Công - Nông nghiệp,Sub category 2,20053
20055,Giao thầu thương mại,Công - Nông nghiệp,Sub category 2,20053
20056,HVAC & Kiểm soát khí hậu,Công - Nông nghiệp,Sub category 2,20053
20057,Vật liệu xây dựng,Công - Nông nghiệp,Sub category 2,20053
20058,Nông - Lâm - Ngư nghiệp,Công - Nông nghiệp,Sub category 1,
20059,Phân bón,Công - Nông nghiệp,Sub category 2,20058
20060,Thuốc trừ sâu,Công - Nông nghiệp,Sub category 2,20058
20061,"Thức ăn chăn nuôi, thủy sản, thuốc thú y",Công - Nông nghiệp,Sub category 2,20058
20062,Giống Động - Thực vật,Công - Nông nghiệp,Sub category 2,20058
20063,Gia đình & cộng đồng,Gia đình & cộng đồng,Main cate,
20064,Hội nhóm/ Đoàn thể,Gia đình & cộng đồng,Sub category 1,
20065,Nhóm thiện nguyện/ tình nguyện,Gia đình & cộng đồng,Sub category 2,20064
20066,Tin tức hội nhóm,Gia đình & cộng đồng,Sub category 2,20064
20067,Trẻ nhỏ & nuôi dạy,Gia đình & cộng đồng,Sub category 1,
20068,Cách dạy con cái,Gia đình & cộng đồng,Sub category 2,20067
20069,Chăm sóc và vệ sinh trẻ nhỏ,Gia đình & cộng đồng,Sub category 2,20067
20070,Kế hoạch hóa gia đình,Gia đình & cộng đồng,Sub category 1,
20071,Bao cao su & thuốc ngừa thai,Gia đình & cộng đồng,Sub category 2,20070
20072,Sức khỏe sinh sản & tình dục,Gia đình & cộng đồng,Sub category 2,20070
20073,Hôn nhân (Wedding),Gia đình & cộng đồng,Sub category 1,
20074,Thiệp cưới,Gia đình & cộng đồng,Sub category 2,20073
20075,Dịch vụ cưới,Gia đình & cộng đồng,Sub category 2,20073
20076,Thú cưng,Gia đình & cộng đồng,Sub category 1,
20077,Mua bán thú cưng,Gia đình & cộng đồng,Sub category 2,20076
20078,Thức ăn và đồ dùng thú cưng,Gia đình & cộng đồng,Sub category 2,20076
20079,Đồ chơi,Gia đình & cộng đồng,Sub category 1,
20080,Dịch vụ Internet & Viễn thông,Dịch vụ Internet & Viễn thông,Main cate,
20081,Gói dịch vụ điện thoại & SIM,Dịch vụ Internet & Viễn thông,Sub category 1,
20082,Internet và các dịch vụ trực tuyến,Dịch vụ Internet & Viễn thông,Sub category 1,
20083,Quảng cáo Website,Dịch vụ Internet & Viễn thông,Sub category 2,20082
20084,Dịch vụ lưu trữ (hosting) + domain,Dịch vụ Internet & Viễn thông,Sub category 2,20082
20085,Dịch vụ thiết kế và phát triển website,Dịch vụ Internet & Viễn thông,Sub category 2,20082
20086,Email và tin nhắn,Dịch vụ Internet & Viễn thông,Sub category 2,20082
20087,Gói dịch vụ Internet,Dịch vụ Internet & Viễn thông,Sub category 2,20082
20088,Mạng xã hội và cộng đồng,Dịch vụ Internet & Viễn thông,Sub category 1,
20089,Hẹn hò trực tuyến,Dịch vụ Internet & Viễn thông,Sub category 2,20088
20090,"Mạng chia sẻ content (Video, photo, blog etc.)",Dịch vụ Internet & Viễn thông,Sub category 2,20088
20091,Dịch vụ truyền hình,Dịch vụ Internet & Viễn thông,Sub category 1,
