Lookup_type	ID	Human_value	extra_info
cateId	10	All Categories	Main cate
cateId	1	Người nổi tiếng	Main cate
cateId	10080	Cơ Quan Nhà Nước	Main cate
cateId	2	Tiện Ích	Main cate
cateId	10011	OA Test	Main cate
cateId	3	Tổ Chức - Doanh Nghiệp	Main cate
cateId	4	Cộng Đồng	Main cate
cateId	10089	Tiện Ích Công	Main cate
cateId	10031	Nhãn Hàng	Main cate
cateId	10001	Cơ Quan Nhà Nước	Main cate
cateId	10003	Doanh nghiệp	Main cate
cateId	10006	Media	Main cate
cateId	10039	Sách / Truyện	Main cate
cateId	10007	Nội bộ	Main cate
cateId	10064	Diễn viên	Sub cat
cateId	10066	Nghệ sỹ	Sub cat
cateId	10070	Vận động viên	Sub cat
cateId	10083	Công an	Sub cat
cateId	10086	Trung ương	Sub cat
cateId	10087	Tỉnh	Sub cat
cateId	10088	Địa phương	Sub cat
cateId	10013	OA Service Test	Sub cat
cateId	10027	Cơ Quan Nhà Nước	Sub cat
cateId	10028	Tổ Chức	Sub cat
cateId	10026	Doanh Nghiệp	Sub cat
cateId	10084	Điện	Sub cat
cateId	10081	Y tế	Sub cat
cateId	10085	Nước	Sub cat
cateId	10082	Giáo dục	Sub cat
cateId	10090	Khác	Sub cat
cateId	10050	Làm đẹp	Sub cat
cateId	10051	Hàng không	Sub cat
cateId	10052	Nội thất	Sub cat
cateId	10053	Siêu thị	Sub cat
cateId	10054	Sức khỏe	Sub cat
cateId	10055	Thiết bị điện / Gia dụng	Sub cat
cateId	10056	Thiết bị số / Công nghệ	Sub cat
cateId	10057	Thời trang / Phụ kiện	Sub cat
cateId	10058	Thực phẩm	Sub cat
cateId	10059	Thương mại điện tử	Sub cat
cateId	10061	Vật liệu xây dựng	Sub cat
cateId	10062	Khác	Sub cat
cateId	10073	Cơ Quan Nhà Nước	Sub cat
cateId	10076	Tổ Chức	Sub cat
cateId	10077	Doanh Nghiệp Nhà Nước	Sub cat
cateId	10017	Thời trang & May mặc	Sub cat
cateId	10018	Công nghệ & Thiết bị	Sub cat
cateId	10019	Mỹ phẩm & Làm đẹp	Sub cat
cateId	10020	Du lịch & Lưu trú	Sub cat
cateId	10021	Giáo dục & Đào tạo	Sub cat
cateId	10022	Y tế & Dược phẩm	Sub cat
cateId	10024	Mua sắm & Bán lẻ	Sub cat
cateId	10023	Thực phẩm & Đồ uống	Sub cat
cateId	10016	Truyền thông & Giải trí	Sub cat
cateId	10025	Dịch vụ khác	Sub cat
cateId	10092	Truyền thông nội bộ	Sub cat
cateId	10043	Bất động sản	Sub cat
cateId	10044	Tài chính & Ngân hàng	Sub cat
cateId	10093	Viễn thông	Sub cat
cateId	10094	Ô tô & Xe máy	Sub cat
cateId	10095	Vận tải	Sub cat
cateId	10014	Nhà hàng & Quán	Sub cat
cateId	10036	Media(Tên cũ: Tin tức)	Sub cat
cateId	10037	TV Show	Sub cat
cateId	10038	Sự kiện âm nhạc	Sub cat
cateId	10040	Media(Tên cũ: Tạp chí)	Sub cat
cateId	10041	Phim / Rạp	Sub cat
cateId	10060	Trò chơi	Sub cat
districtId	1	Quận Ba Đình	
districtId	2	Quận Hoàn Kiếm	
districtId	3	Quận Tây Hồ	
districtId	4	Quận Long Biên	
districtId	5	Quận Cầu Giấy	
districtId	6	Quận Đống Đa	
districtId	7	Quận Hai Bà Trưng	
districtId	8	Quận Hoàng Mai	
districtId	9	Quận Thanh Xuân	
districtId	268	Quận Hà Đông	
districtId	269	Thị xã Sơn Tây	
districtId	271	Huyện Ba Vì	
districtId	16	Huyện Sóc Sơn	
districtId	272	Huyện Phúc Thọ	
districtId	17	Huyện Đông Anh	
districtId	273	Huyện Đan Phượng	
districtId	18	Huyện Gia Lâm	
districtId	274	Huyện Hoài Đức	
districtId	19	Quận Nam Từ Liêm	
districtId	275	Huyện Quốc Oai	
districtId	20	Huyện Thanh Trì	
districtId	276	Huyện Thạch Thất	
